"ID";"P08";"P10";"P11";"P12";"P13";"P14";"P15_15";"P15_16";"P15_17";"P15_18";"P15_19";"P15_20";"P15_21";"P22";"P23";"P24_24";"P24_25";"P24_26";"P24_27";"P24_28";"P24_29";"P30";"P31";"P32";"P33_33";"P33_34";"P33_35";"P33_36";"P33_37";"P38";"P39";"P40";"P41_41";"P41_42";"P41_43";"P41_44";"P41_45";"P46";"P47";"P48";"P54";"P55_55";"P55_56";"P55_57";"P55_58";"P55_59";"P62";"P63";"P64_64";"P64_65";"P64_66";"P64_67";"P64_68";"P64_69";"P64_70";"P64_71";"P73_73";"P73_74";"P73_75";"P77_77";"P77_78";"P77_79";"P77_80";"P77_81";"P77_82";"P77_83";"P84_84";"P84_85";"P84_86";"P84_87";"P84_88";"P84_89";"P92";"V03";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V11b";"V12";"V12a";"V12B";"V13";"V14";"VD_P49A";"VD_P50A";"VD_P51A";"VD_P52A";"VD_P53A";"VD_P49B";"VD_P50B";"VD_P51B";"VD_P52B";"VD_P53B";"VD_P55B";"VD_P55_60";"VD_P64_72";"VD_P76";"VD_P90";"VD_P92A";"VD_RACA";"VD_REGIAO";"VD_IDADE";"VD_EDUCACAO";"VD_DOMICILIO";"VD_PORTE";"POP_UF_idade";"POP_UF_raca";"POP_UF_edu";"POP_UF_porte";"POP_UF_residencia";"W1";"W2"
"7825";12;2;1;2;2;3;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;2;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;5;3;3;1;5;5;2;1;30570;52161,8811091105;91946,5774913829;122421;54126,868296524;0,0612027164113033;125,981524944941
"7826";53;2;1;1;1;3;1;1;3;1;1;1;1;2;2;1;1;1;1;1;1;2;2;97;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;;;;;;;1;3;2;;;;;;;;;;;;97;2;97;1;;4;5;8;3;1;3;83140;719504,381764959;64180,90829832;1192401;1144552,13203908;0,308690015682969;795,400074289823
"7827";33;2;3;1;1;2;1;1;2;1;1;1;1;2;2;1;1;2;1;1;2;2;1;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;1;1;1;2;1;;;;;;1;5;2;;;;;;;;;;;;97;2;97;2;0;4;3;6;4;1;2;589057;3639495,50891637;506498,438879697;2602423;6815646,96134305;1,61042972658975;2134,8040351871
"7828";41;2;1;1;1;3;1;1;2;2;1;1;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;6;;1;1;1;1;;;;;;;2;1;2;;;;;;;;;;;;97;2;97;3;0;1;4;10;7;1;1;725620;3116799,95964981;962279,89967906;1731233;4217476,99265909;1,09731593661602;4140,42937677241
"7829";35;3;1;2;1;4;3;3;3;1;1;3;2;1;2;1;1;1;2;1;1;2;2;1;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;1;1;1;;;;;;;2;1;1;;;;;;;;;;;;97;2;97;2;0;1;3;8;5;1;3;1433780;11181216,8484687;6434405,0214404;7969733;18265345,6229506;6,24318532748843;12984,3868464705
"7830";53;2;1;2;1;3;3;1;2;1;3;1;1;2;1;1;97;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;2;2;1;1;1;2;2;;;;;;;;;;;;97;2;97;3;0;1;5;8;7;1;3;83140;472896,618235041;410550,621539486;1192401;1144552,13203908;0,308690015682969;839,457043287396
"7831";25;2;1;1;1;3;3;3;2;1;2;3;1;2;2;1;1;1;1;2;2;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;2;2;1;3;1;1;1;;;;;;;;;;;;97;2;97;3;2;4;2;2;5;1;1;151017;1064111,11136071;472710,19115071;822628;1261071,51373576;0,289162127968898;2065,28717711706
"7832";52;3;1;1;1;4;3;3;1;4;1;3;3;3;3;1;2;2;2;1;2;2;3;1;1;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;;;;;2;2;2;;;2;1;;;;;;;;;;;;97;2;97;3;0;4;5;10;3;1;1;351509;1794738,96348069;202345,676201381;887844;2672927,86037804;0,625974153060974;7545,72657754124
"7833";43;2;1;2;1;3;1;1;4;1;4;2;1;2;3;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;3;1;1;1;3;;;1;;;;;1;5;2;;;;;;;;;;;;97;2;97;5;;1;4;1;5;1;2;640752;3610129,25112665;1290313,44136863;2324503;4029583,56019369;1,03538086880076;8637,51475802792
"7834";43;2;1;2;1;3;1;2;1;1;2;2;1;2;2;1;1;1;1;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;2;;;;;2;2;1;1;1;1;2;;;;;;;;;;;;97;2;97;2;;1;4;10;7;1;2;878414;3610129,25112665;884736,499947764;2324503;4029583,56019369;1,03538086880076;3220,93087774959
