ID;P03;P04;P05;P06;P071;P072;P073;P08;P091;P092;P093;P094;P095;P096;P097;P098;P10;P11;P12;P13;P14;P15;P16;P17;P181;P182;P183;P184;P185;P186;P19;P2001;P2002;P2003;P2004;P2005;P2006;P2007;P2008;P2009;P2010;P211;P212;P213;P214;P215;P216;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P33;P35;VD_IDADE;VD_RENDA;VD_RELIGIÃO;VD_RACA;W1;W2
59;2;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;3;1;2;1;1;1;7;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;3;2;1;1;0.955342875095238;72088.7261904762
60;2;3;1;3;1;1;2;3;2;2;2;1;1;2;2;2;3;1;1;1;1;1;7;1;1;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;;;8;3;;;2;4;1;8;4;1;2;3;0.955342875095238;72088.7261904762
61;2;3;1;1;1;2;2;3;2;2;2;2;2;1;2;2;3;1;97;2;1;1;3;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1;2;1;2;1;2;;;1;;1;;4;3;2;5;3;2;1;2;0.955342875095238;72088.7261904762
62;2;3;3;1;1;1;1;2;2;1;2;2;1;2;2;2;3;1;3;1;1;97;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7;5;97;2;3;0.955342875095238;72088.7261904762
63;2;3;1;1;2;2;1;2;1;2;2;1;2;2;2;2;3;1;2;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;2;2;1;3;0.955342875095238;72088.7261904762
64;2;3;1;1;2;2;1;1;2;2;2;1;1;2;2;2;3;1;2;1;1;2;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;2;2;3;0.955342875095238;72088.7261904762
65;2;3;2;1;1;2;1;2;2;1;2;2;1;1;2;2;3;1;1;2;1;1;3;2;;;;;;;1;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;8;2;;;2;;2;;2;3;2;3;4;3;3;3;0.955342875095238;72088.7261904762
66;2;2;1;1;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;2;97;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;1;2;1;3;0.955342875095238;72088.7261904762
67;2;3;1;1;1;1;2;3;2;2;2;1;2;2;2;2;3;1;1;1;1;1;8;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;4;3;2;97;0.955342875095238;72088.7261904762
68;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;2;3;1;1;2;1;1;97;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;8;2;2;1;3;0.955342875095238;72088.7261904762
