"ID";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P08_9";"P08_10";"P08_11";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P17_6";"P18_A";"P18_D";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P21_B";"P22_A";"P22_B";"P22_C";"P22_D1";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P28_9";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"VD_P35";"P36";"P38";"P39";"P40";"P41";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V15";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_regiao_idade";"POP_regiao_raca";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2"
"2410";3;1;1;1;3;2;2;1;2;2;2;2;2;2;0;0;2;2;5;1;1;2;2;2;2;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;2;1;2;2;2;2;2;1;2;;4;4;1;1;1;"2";2;1;3;1;2651313,51254732;10072401,6435758;4175632,01705986;4835858,60259792;0,426501513466645;39831,3639516385
"2411";2;2;1;2;4;2;2;2;1;2;2;2;2;2;0;0;1;1;1;1;1;1;1;1;97;1;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;2;1;4;1;2;1;2;2;2;97;;4;1;5;4;2;"3";2;1;2;3;1283987,89409637;5164153,94647996;1128957,88513977;2061622,47029637;0,179930621055583;5422,34625068551
"2412";3;3;1;1;3;1;2;1;1;2;2;2;2;2;0;0;1;2;2;1;2;2;2;1;1;1;1;2;1;2;2;2;1;1;1;2;1;2;2;2;;;;;2;1;2;1;2;1;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;2;1;3;1;4;1;2;2;1;1;;4;1;1;2;4;"2";2;1;1;1;2120604,22046604;549242,77217448;1499244,44762391;2363871,19571558;0,179930621055583;9773,7344962883
"2413";2;2;1;1;3;2;1;2;1;1;1;1;2;2;0;0;2;2;4;1;1;1;2;2;2;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;2;6;1;2;1;1;;;;5;4;4;3;1;2;"1";1;4;1;3;2281776,21520491;10072401,6435758;2041883,72723215;2443804,96747532;0,910770007927334;12158,3623656695
"2414";3;2;1;1;1;2;1;2;2;2;2;2;2;2;0;0;3;2;5;2;2;2;2;2;2;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;97;1;2;2;1;2;2;2;2;2;2;;4;3;5;1;1;"3";2;1;1;3;10873729,3575279;21435571,5784308;10487709,0241656;16041980,2259275;1,87179217291575;90254,7373051297
"2415";1;3;1;1;97;2;2;2;1;2;2;2;2;2;0;0;3;1;1;2;1;1;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;1;1;1;2;2;2;2;2;2;;4;1;5;1;1;"3";2;97;2;2;1283987,89409637;1440823,54572169;2267202,44555839;2828257,81207705;0,21035526357934;21096,5549660287
"2416";2;2;1;2;3;2;2;2;2;1;2;1;2;2;0;0;2;1;3;1;1;2;2;2;1;1;1;2;1;1;1;2;1;1;2;2;1;2;2;1;;2;;;;1;2;1;2;2;1;2;1;2;1;2;2;1;6;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;2;1;2;4;1;1;;;;2;1;2;3;2;4;"1";1;4;2;2;4595041,07124126;2834846,37084543;4208133,6330169;7731021,03806011;0,695186851079864;12434,6725272669
"2417";3;2;1;1;3;2;2;1;2;2;2;2;2;2;0;0;2;3;5;1;2;1;2;2;2;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;1;1;3;1;2;2;2;2;;1;3;5;4;3;"3";2;3;3;2;10873729,3575279;14014348,5743857;12322615,2408783;15599497,5813694;1,87179217291575;84848,3659391699
"2418";2;1;1;1;4;2;2;2;1;1;2;2;2;2;0;0;3;1;97;1;97;1;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;3;2;1;4;1;2;1;2;2;1;1;;4;2;5;4;2;"2";2;1;1;1;5236594,20628577;14898000,1979184;3762891,45355231;10613747,399869;4,17112110647918;394139,700320917
"2419";2;1;1;1;3;2;2;2;1;2;2;2;2;2;0;0;1;1;3;1;1;2;2;1;2;2;97;97;97;97;97;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;3;1;1;2;1;4;1;1;;;;2;4;2;1;1;4;"1";1;3;1;2;6037267,85338051;6273888,68778369;4208133,6330169;7731021,03806011;0,637632202876856;23875,9503394855
