"ID";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P33";"P34";"P36";"P37";"P38";"VD_EDUCACAO";"VD_IDADE";"VD_REGIAO";"VD_OCUPACAO";"VD_RACA";"VD_RENDA";"VD_RELIGIAO";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_trab";"W1";"W2"
"210";2;2;1;1;3;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;4;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;3;1;1;97;1;19504420,6018672;7210035,70585308;11830617,0641027;19008208,2217878;1,18746772250199;42876,8525200938
"211";3;1;2;1;3;2;2;2;2;2;2;1;2;2;1;2;3;1;1;1;1;2;4;1;3;1;;;;;;;;5;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;3;3;1;1;97;2;19504420,6018672;6591591,83579349;9667487,9365852;19008208,2217878;0,801193681369216;28929,3449119761
"212";3;3;1;2;3;2;2;2;1;2;2;2;2;2;2;1;3;1;1;2;2;2;3;1;2;1;;;;;;;;4;1;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;7;2;;4;4;4;3;4;3;2;2374569,89674108;2202936,75527634;3043136,18139733;5304273,64801839;0,487288518567172;17594,9186234024
"213";2;1;2;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1;2;2;4;2;1;2;2;2;1;2;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;2;5;2;4;1;1;3421308,1019427;1352560,93081092;1826530,14140164;468593,5955951;0,413459572185603;14929,1174519427
"214";3;1;1;1;3;2;1;2;1;2;2;2;2;2;1;2;3;1;1;2;1;2;4;2;2;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;1;1;2;4;1;96;4846039,7630248;2177738,10825259;2083133,06024781;522391,26454334;0,314264682179279;11347,407744005
"215";3;3;1;1;4;2;2;1;2;2;2;2;2;2;2;3;3;2;1;2;1;2;2;1;1;3;;;;;;;;;1;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;;;;;2;1;2;;;;2;2;2;1;2;2;2;2;2;4;1;2;1;2;2;2;2;2;2;2;2;2;3;2;4;1;;2;4;2;2;4;1;2;14461864,302681;3470224,48658806;3406005,68748633;1833996,26932857;0,19549955694117;7059,05980589393
"216";3;1;1;1;3;2;1;2;1;2;2;2;2;2;2;2;3;1;2;2;2;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;6;1;;4;2;2;2;1;2;2;5740319,00842639;4680529,27027831;3915537,04929414;1833996,26932857;0,195407931987191;7055,75142995708
"217";2;1;2;1;3;2;2;2;1;2;2;2;2;2;97;2;4;2;2;2;2;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;1;5;3;3;4;1;1;13960677,4593904;8798165,98063689;10649723,4784583;15614797,7757141;1,93770439788585;69966,2518157828
"218";3;2;1;1;3;2;2;2;1;1;2;2;2;2;2;2;3;1;1;2;1;2;1;1;3;2;2;2;1;1;2;2;2;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;5;2;;3;4;2;3;1;97;1;5740319,00842639;3470224,48658806;6475161,96831011;12186583,0403909;1,16711587630043;42141,9920337325
"219";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1;2;2;4;1;2;1;;;;;;;;11;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;;2;2;2;;;;2;2;2;1;2;2;2;2;2;4;1;2;1;2;1;2;1;2;2;2;1;2;3;1;;;5;3;1;2;1;4;1;1;14461864,302681;6224087,26340164;6475161,96831011;9082972,15513015;1,04212939412983;37629,0045550139
"220";2;1;1;1;3;2;2;2;2;2;2;1;2;2;2;2;3;1;2;2;2;2;4;1;3;2;2;2;1;2;2;2;2;5;1;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;1;5;1;4;2;2;3421308,1019427;1692837,76193263;1826530,14140164;3453128,1894327;1,39091650453388;50222,9413924667
"221";1;1;2;97;3;2;1;2;2;2;2;2;2;2;2;2;97;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;1;5;3;3;4;97;1;13960677,4593904;8798165,98063689;10649723,4784583;15614797,7757141;1,93770439788585;69966,2518157828
"222";3;1;2;1;3;2;1;2;2;2;2;2;2;2;2;3;5;2;2;2;2;2;4;1;3;2;2;2;1;2;2;2;2;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;4;1;;;3;4;2;3;1;4;97;1;13960677,4593904;7210035,70585308;9667487,9365852;19008208,2217878;0,661817067181837;23896,7613578978
"223";2;2;1;1;3;2;2;2;2;1;2;2;2;2;2;2;4;2;2;2;2;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;3;3;3;2;1;4;2;1;14461864,302681;4033401,53710101;6475161,96831011;9082972,15513015;0,612326411797507;22109,7624426215
"224";3;1;1;1;4;1;1;1;1;1;1;1;1;1;1;2;4;1;1;1;1;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;1;1;2;2;2;2;2;3;1;6;1;;3;1;3;2;2;1;2;3804141,48667104;8791279,62274544;11830617,0641027;3097231,98911423;0,647678293689698;23386,2412870363
"225";2;2;1;1;3;1;1;2;1;2;1;2;2;2;2;1;4;1;1;2;2;2;4;1;3;1;;;;;;;;4;1;1;1;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;1;2;;;;2;2;2;2;2;2;2;1;2;5;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;3;4;1;1;2;2;9518913,45314225;2173701,16581883;3043136,18139733;6581932,49735434;0,708595024034809;25585,8106846031
"226";1;2;1;1;3;2;2;2;1;2;2;2;2;2;2;1;3;1;1;1;1;2;3;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;2;2;1;1;1;2;5740319,00842639;4680529,27027831;6475161,96831011;9082972,15513015;0,840925644012079;30363,9788563686
"227";3;2;1;1;3;2;1;2;2;2;2;1;2;2;2;3;4;1;2;2;1;1;1;1;1;1;;;;;;;;11;1;1;1;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;;;2;2;2;;;;2;1;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;2;;3;1;3;3;2;97;2;3804141,48667104;8791279,62274544;11830617,0641027;15614797,7757141;1,85470523163733;66969,3341370184
"228";3;1;1;1;3;2;2;2;1;2;2;2;2;2;3;3;5;2;2;2;2;2;4;1;3;2;2;2;2;1;2;2;2;4;1;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;2;6;1;;2;2;3;2;4;1;2;13960677,4593904;7210035,70585308;5572409,50746999;3097231,98911423;0,290386020551229;10485,2016952832
"229";3;1;2;1;3;2;2;2;2;2;1;2;2;2;2;2;3;2;2;2;2;2;4;1;2;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;6;;6;1;;4;2;1;2;1;1;1;1307518,70265803;1463776,52352921;1263379,16937145;522391,26454334;0,10214699283778;3688,30366020261
"230";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;4;1;3;1;;;;;;;;5;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;2;5;2;1;2;96;2431431,47238272;1352560,93081092;1826530,14140164;468593,5955951;0,566251935800683;20446,114265226
"231";3;1;1;2;3;1;2;2;2;2;2;2;2;2;1;2;3;1;1;1;1;2;4;1;97;1;;;;;;;;11;1;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;;3;1;2;2;4;2;1;14461864,302681;6224087,26340164;6475161,96831011;1833996,26932857;0,293915067233827;10612,6278234035
"232";2;1;2;2;3;2;2;2;2;1;2;2;2;2;1;1;3;1;1;2;1;2;3;1;3;1;;;;;;;;11;1;2;1;1;1;1;1;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;;;2;2;2;;;;2;2;2;2;2;2;2;1;2;4;1;2;1;2;2;1;2;2;2;2;2;2;4;2;;;1;4;1;2;1;1;1;2;5740319,00842639;6224087,26340164;3915537,04929414;9082972,15513015;0,990154428769214;35752,302660491
"233";3;3;1;1;4;2;2;2;1;2;2;2;2;2;2;2;5;1;2;1;1;2;4;1;3;1;;;;;;;;4;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;1;2;2;2;2;3;2;;;2;2;5;4;1;1;1;1;9518913,45314225;2958888,4849002;2061170,61624244;6581932,49735434;0,667888025793617;24115,9703453256
"234";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;4;1;1;1;2;2;4;1;2;2;2;1;2;1;2;2;2;11;1;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;2;2;2;4;2;1;14461864,302681;4680529,27027831;6475161,96831011;1833996,26932857;0,205665241555407;7426,12035980272
"235";2;2;2;1;3;2;2;2;1;1;2;2;2;2;2;1;2;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;11;1;1;1;2;1;2;1;2;1;1;2;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;2;2;1;2;;;1;2;2;2;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;3;2;;;1;2;2;2;1;4;2;2;14461864,302681;4680529,27027831;3406005,68748633;9082972,15513015;0,762733465189918;27540,6309404197
"236";3;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;3;1;1;2;2;2;97;1;3;1;;;;;;;;11;1;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;1;3;1;4;3;1;13960677,4593904;8791279,62274544;9667487,9365852;19008208,2217878;0,997860782401391;36030,5621717966
"237";2;3;1;1;3;2;2;2;1;2;2;2;2;2;2;2;3;2;2;1;1;2;1;1;2;2;1;2;2;1;2;2;2;3;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;6;2;;4;2;2;3;4;1;1;14461864,302681;4680529,27027831;3915537,04929414;12186583,0403909;0,917547786766418;33130,6362167297
"238";3;2;1;1;3;2;2;2;2;1;2;2;2;2;2;1;5;1;1;1;97;2;4;1;3;2;2;2;2;2;2;2;2;5;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;1;;2;2;;1;5;3;3;2;97;1;3804141,48667104;8798165,98063689;10649723,4784583;15614797,7757141;2,23119314702103;80563,4862285733
"239";3;2;1;1;3;2;2;2;1;1;2;2;2;2;1;2;3;1;1;2;2;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;3;3;4;3;4;1;1;2374569,89674108;2173701,16581883;3336804,26555338;5304273,64801839;0,950568187548448;34322,9303967369
"240";2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;2;4;1;3;1;;;;;;;;12;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;1;2;2;2;2;2;2;2;3;1;3;1;;3;1;2;2;4;1;1;14461864,302681;6224087,26340164;6475161,96831011;1833996,26932857;0,293915067233827;10612,6278234035
"241";2;1;1;1;3;2;2;2;1;2;2;1;2;2;2;2;5;1;2;1;2;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;2;4;1;;2;1;3;2;1;1;2;19504420,6018672;8791279,62274544;5572409,50746999;3097231,98911423;0,578903509349608;20902,9348111028
"242";3;1;1;2;4;2;2;1;2;2;2;2;2;2;2;2;3;1;2;1;1;2;3;1;2;1;;;;;;;;11;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;;3;1;5;2;4;1;2;3421308,1019427;1692837,76193263;1826530,14140164;468593,5955951;0,693222346043677;25030,7370311686
"243";3;2;2;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;11;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;2;1;2;1;2;1;3;2;6;1;;2;1;3;2;4;97;2;13960677,4593904;8791279,62274544;5572409,50746999;3097231,98911423;0,437832198706447;15809,1594885041
"244";2;2;1;1;3;2;2;1;1;1;2;2;2;2;3;1;2;1;1;1;2;2;4;1;2;2;1;2;2;2;2;2;2;11;2;;;;;;;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;2;1;1;1;1;2;2;2;2;1;2;2;2;2;2;4;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;4;1;1;2;1;4;1;1;14461864,302681;6224087,26340164;9306846,75975905;9082972,15513015;2,92091398166333;105467,791370176
"245";2;1;1;2;3;2;1;2;2;2;2;2;2;2;1;2;4;2;2;2;2;2;4;1;2;3;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;1;;3;2;2;2;4;1;1;14461864,302681;4680529,27027831;6475161,96831011;1833996,26932857;0,205665241555407;7426,12035980272
"246";3;1;1;1;3;2;2;2;1;2;2;2;2;2;1;2;5;1;1;1;1;1;4;1;2;1;;;;;;;;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;1;2;2;2;2;2;4;1;;;1;4;2;4;1;1;97;1;9518913,45314225;2302991,36657876;3043136,18139733;6581932,49735434;0,648148165926656;23403,2073419661
"247";3;1;1;1;4;1;2;2;2;2;2;2;2;2;3;2;5;1;1;1;2;2;1;2;2;2;2;2;2;1;2;2;2;11;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;1;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;4;4;1;4;1;1;2374569,89674108;2202936,75527634;3336804,26555338;6581932,49735434;0,801661175869822;28946,2251120662
"248";2;1;1;2;3;2;2;2;1;2;2;2;2;2;1;2;3;1;1;1;1;2;4;1;3;1;;;;;;;;5;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;1;5;1;4;3;2;3421308,1019427;1692837,76193263;1763115,81930727;3453128,1894327;1,01570727089508;36674,9596915315
"249";2;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;5;1;2;2;2;2;4;1;2;1;;;;;;;;4;1;1;1;1;1;2;1;2;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;;2;2;2;;;;2;2;2;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;4;3;1;4;1;1;13960677,4593904;6329164,84158728;10649723,4784583;19008208,2217878;1,88410452135863;68030,8779463266
"250";3;1;1;97;3;2;2;2;1;2;2;2;2;2;2;1;97;2;2;2;2;2;4;2;2;3;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;1;4;2;3;4;97;1;14461864,302681;3470224,48658806;9306846,75975905;12186583,0403909;2,83670515309817;102427,195440823
"251";2;2;2;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1;1;2;3;1;3;2;2;2;2;1;2;2;2;4;1;1;1;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;2;1;1;2;2;2;1;3;2;6;1;;2;1;2;2;4;97;2;14461864,302681;6224087,26340164;3406005,68748633;1833996,26932857;0,307421301233345;11100,3082818492
"252";1;1;2;3;3;2;1;2;2;2;2;2;2;2;1;1;4;1;1;1;1;2;1;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;;4;5;4;3;1;3;1;9518913,45314225;2958888,4849002;3043136,18139733;5304273,64801839;0,57718250393614;20840,7930838783
"253";3;2;2;1;3;2;2;2;2;2;1;2;2;2;2;2;5;1;1;2;2;2;4;1;3;2;2;2;2;1;2;2;2;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;1;2;2;2;2;2;4;1;6;1;;4;4;2;2;1;1;2;5740319,00842639;3470224,48658806;3915537,04929414;1833996,26932857;0,177588549443665;6412,33264657482
"254";2;1;1;1;4;2;2;2;1;2;2;2;2;2;1;2;4;1;2;2;1;2;2;1;2;1;;;;;;;;4;1;2;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;3;2;;4;1;1;3;4;3;2;4846039,7630248;2177738,10825259;1263379,16937145;3307111,57367646;1,42679347832627;51518,3801526229
"255";2;1;2;2;2;2;2;2;1;2;2;2;2;2;3;2;3;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;2;3;3;4;2;1;13960677,4593904;7210035,70585308;11830617,0641027;15614797,7757141;1,06830008477331;38573,9707396146
"256";2;3;2;1;4;2;1;2;2;2;2;2;2;2;2;1;3;1;2;1;2;2;4;1;3;1;;;;;;;;11;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;4;3;1;2;2;2;3804141,48667104;6329164,84158728;11830617,0641027;19008208,2217878;0,911643718216876;32917,4532630627
"257";2;1;1;1;3;2;2;2;1;2;2;2;2;2;1;2;3;2;2;2;2;2;4;2;2;1;;;;;;;;4;1;1;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;;;;;2;2;2;;;;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;;1;4;2;2;1;4;2;96;14461864,302681;4680529,27027831;3915537,04929414;9082972,15513015;0,600820971169497;21694,326240325
"258";2;4;1;1;3;2;2;2;1;2;2;2;2;2;2;1;3;1;1;1;1;2;4;1;3;1;;;;;;;;4;1;2;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;3;5;3;3;1;1;1;19504420,6018672;8798165,98063689;11830617,0641027;15614797,7757141;1,0766053159745;38873,8544051751
"259";3;1;1;1;4;2;2;2;1;2;2;2;2;2;2;3;3;2;2;2;2;2;2;1;3;1;;;;;;;;12;1;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;1;2;2;2;2;2;4;1;1;1;1;2;1;1;2;2;2;2;2;3;1;6;1;;3;2;3;2;2;1;2;3804141,48667104;7210035,70585308;11830617,0641027;3097231,98911423;0,429563478560108;15510,5941569787
"260";3;3;1;1;3;2;1;1;2;2;2;2;2;2;2;1;4;1;1;1;2;2;1;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;;2;5;2;3;4;1;1;14461864,302681;4695308,90748061;3406005,68748633;12186583,0403909;1,64535779412841;59410,2577651429
"261";3;2;1;1;2;2;1;2;1;2;2;2;2;2;1;1;3;1;2;2;2;2;4;2;2;2;1;2;2;2;2;2;2;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;3;4;3;3;1;2;1;19504420,6018672;6329164,84158728;11830617,0641027;15614797,7757141;1,24521378936827;44961,9362202418
"262";3;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;2;4;2;1;1;;;;;;;;4;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;4;2;1;4;97;1;14461864,302681;3470224,48658806;9306846,75975905;9082972,15513015;1,85750755392519;67070,5198426786
"263";3;1;2;1;3;1;2;2;2;2;2;2;2;2;2;2;5;1;1;2;2;2;4;1;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;1;4;2;5;1;1;3;1;2431431,47238272;1352560,93081092;1763115,81930727;3453128,1894327;0,829670612370784;29957,5843728403
"264";2;1;2;2;3;1;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;1;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;1;2;;;;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;3;1;;;1;3;1;3;1;4;1;2;13960677,4593904;8791279,62274544;11830617,0641027;19008208,2217878;1,35411428600686;48894,0940762039
