"ID";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P33";"P34";"P36";"P37";"P38";"VD_EDUCACAO";"VD_IDADE";"VD_REGIAO";"VD_OCUPACAO";"VD_RACA";"VD_RENDA";"VD_RELIGIAO";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_trab";"W1";"W2"
"1066";3;97;1;1;3;1;2;1;1;2;2;1;2;2;1;2;5;1;2;2;2;2;3;1;2;1;;;;;;;;4;1;1;1;2;1;2;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;1;3;1;2;3;96;3804141,48667104;8791279,62274544;11830617,0641027;19008208,2217878;1,55921125973507;56299,6955323288
"1067";3;1;1;2;3;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;2;2;1;1;97;1;;;;;;;;5;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;2;2;1;3;97;96;222828,22375231;4680529,27027831;3915537,04929414;9082972,15513015;0,150267585312121;5425,83261160397
"1068";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;1;3;1;3;2;2;1;2;2;2;2;2;5;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;;;;;1;2;2;;;;2;1;2;2;2;2;2;2;2;4;1;1;1;2;1;1;1;1;2;2;1;1;2;1;;;2;2;3;3;1;4;2;1;13960677,4593904;6591591,83579349;5572409,50746999;19008208,2217878;0,640062513589681;23111,252187134
"1069";3;3;1;1;3;1;1;1;1;1;1;1;1;1;2;2;3;1;1;2;2;2;4;1;3;97;;;;;;;;;1;1;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;1;2;2;;;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;1;;2;1;2;2;2;97;2;2678539,92998988;6224087,26340164;3406005,68748633;1833996,26932857;0,302820303315022;10934,176347944
"1070";3;3;1;2;3;2;1;1;1;2;1;2;2;2;2;97;5;1;2;1;1;2;4;1;2;1;;;;;;;;3;1;2;1;2;2;2;2;2;1;2;2;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;2;2;2;;;;2;2;2;2;2;1;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;;1;5;2;3;2;1;1;2678539,92998988;4695308,90748061;9306846,75975905;12186583,0403909;4,34306572871887;156818,568796963
"1071";2;2;1;1;4;2;2;2;1;1;2;2;2;2;3;2;3;2;2;2;2;2;4;2;1;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;2;4;1;4;2;1;2374569,89674108;2302991,36657876;3336804,26555338;6581932,49735434;0,812747914901957;29346,5429189435
"1072";2;2;2;2;3;2;2;1;2;2;2;2;2;2;2;1;4;1;2;1;2;2;2;1;3;1;;;;;;;;5;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;1;2;2;2;2;2;4;2;4;1;;4;1;3;2;1;1;2;19504420,6018672;8791279,62274544;9667487,9365852;3097231,98911423;0,5480533286292;19789,0025130693
"1073";3;2;1;1;3;1;1;2;1;2;2;2;2;2;2;2;3;1;1;1;1;2;1;1;3;2;1;2;2;1;2;2;2;5;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;1;2;2;2;2;2;3;1;6;1;;3;2;2;2;4;2;1;14461864,302681;4680529,27027831;6475161,96831011;1833996,26932857;0,205665241555407;7426,12035980272
"1074";3;1;1;1;4;2;2;2;1;2;1;2;2;2;2;2;3;1;1;1;1;2;4;1;1;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;3;4;5;2;1;4;3;96;14461864,302681;4695308,90748061;3915537,04929414;9082972,15513015;0,848689883036385;30644,3284821037
"1075";3;1;1;2;3;2;2;2;1;2;1;2;2;2;2;2;3;1;2;2;2;2;2;2;2;1;;;;;;;;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;1;4;1;1;2;96;9518913,45314225;2942917,92101343;3336804,26555338;6581932,49735434;1,61369580751832;58267,0129386532
