"I01";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_01";"P13_02";"P13_03";"P13_04";"P13_05";"P13_06";"P13_07";"P13_08";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23_01";"P23_02";"P23_03";"P23_04";"P23_05";"P23_06";"P24";"P25_01";"P25_02";"P25_03";"P25_04";"P25_05";"P25_06";"P26_01";"P26_02";"P26_03";"P26_04";"P26_05";"P26_06";"P26_07";"P26_08";"P26_09";"P26_10";"P26_11";"P26_12";"P26_13";"P27_01";"P27_02";"P27_03";"P27_04";"P27_05";"P27_06";"P27_07";"P27_08";"P27_09";"P27_10";"P27_11";"P27_12";"P27_13";"P27_14";"P27_15";"P27_16";"P28";"P29";"P30";"P31_01";"P31_02";"P31_03";"P31_04";"P31_05";"P31_06";"P31_07";"P31_08";"P31_09";"P32";"P34";"P35";"P36";"P38";"VD_IDADE";"VD_RENDA";"VD_RACA";"W1";"W2"
"1046";4;"3";"3";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"5";"5";"1";"2";"1";"1.01248037331643";"59797.1922146027"
"1047";2;"3";"1";"1";"3";;;"2";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"3";"1";"1";"1";"5";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"3";"6";"1";"1";"3";"2.64514733901718";"156222.666666667"
"1048";4;"2";"1";"1";"2";;;"1";"3";"2";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"7";"4";"2";"97";"1";"0.289786166397034";"17114.8"
"1049";1;"2";"1";"1";"2";;;"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"6";"7";"2";"3";"3";"0.976722579525288";"57685.3333333333"
"1050";4;"3";"1";"97";"1";"1";"97";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"3";"1";"1";"97";;"2";;;;;;;;"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"5";"2";"1";"2";"1";"5";"2";"3";"2.14331765954866";"126584.555555556"
"1051";4;"2";"2";"2";"1";"1";"2";"1";"4";"2";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"1";"1";"3";"1.01248037331643";"59797.1922146027"
"1052";2;"2";"1";"1";"1";"1";"1";"1";"3";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"10";"1";"1";"2";"1";"2";"2";"2";"2";"1";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"2";"5";"8";"1";"1";"3";"0.816479752262765";"48221.3818181818"
"1053";4;"2";"2";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"5";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"5";"5";"1";"9";"7";"4";"3";"1";"1.17864630456189";"69610.96875"
"1054";2;"3";"1";"1";"1";"1";"1";"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"3";"3";"1";"1";"1";"4";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"5";"4";"3";"2";"3";"1.06235243254426";"62742.641025641"
"1055";4;"3";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"7";"7";"5";"3";"1";"1.17864630456189";"69610.96875"
"1056";1;"1";"1";"3";"1";"1";"1";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"3";"2";"3";"0.741642335543562";"43801.4705882353"
"1057";4;"2";"1";"1";"2";;;"2";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"1";"4";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"5";"3";"1";"2";"1";"1.01248037331643";"59797.1922146027"
