"I01";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_01";"P13_02";"P13_03";"P13_04";"P13_05";"P13_06";"P13_07";"P13_08";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23_01";"P23_02";"P23_03";"P23_04";"P23_05";"P23_06";"P24";"P25_01";"P25_02";"P25_03";"P25_04";"P25_05";"P25_06";"P26_01";"P26_02";"P26_03";"P26_04";"P26_05";"P26_06";"P26_07";"P26_08";"P26_09";"P26_10";"P26_11";"P26_12";"P26_13";"P27_01";"P27_02";"P27_03";"P27_04";"P27_05";"P27_06";"P27_07";"P27_08";"P27_09";"P27_10";"P27_11";"P27_12";"P27_13";"P27_14";"P27_15";"P27_16";"P28";"P29";"P30";"P31_01";"P31_02";"P31_03";"P31_04";"P31_05";"P31_06";"P31_07";"P31_08";"P31_09";"P32";"P34";"P35";"P36";"P38";"VD_IDADE";"VD_RENDA";"VD_RACA";"W1";"W2"
"256";2;"2";"1";"2";"3";;;"1";"2";"97";"97";"97";"97";"97";"97";"97";"97";"1";"1";"1";"2";"1";"1";"10";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"97";"1";"1";"5";"6";"2";"2";"1";"1.06235243254426";"62742.641025641"
"257";4;"3";"3";"1";"3";;;"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"3";"1";"2";"1";"97";;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"97";"2";"1";"5";"5";"2";"2";"2";"1.48971612899922";"87974.5957446808"
"258";2;"2";"3";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"3";"2";"97";"4";"0.171723379742028";"10142"
"259";5;"3";"1";"1";"2";;;"1";"3";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"7";"5";"1";"2";"1";"0.484602971266285";"28620.7"
"260";1;"3";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"5";"5";"3";"3";"3";"0.84975322691975";"50192.4166666667"
"261";2;"3";"2";"1";"1";"1";"1";"1";"3";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"1";"2";"2";"1";"1.70372270168754";"100622.033333333"
"262";2;"3";"1";"1";"1";"2";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"5";"3";"2";"1";"1.06235243254426";"62742.641025641"
"263";2;"3";"2";"1";"1";"97";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"5";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"5";"6";"1";"6";"3";"3";"3";"2";"0.397229262285533";"23460.4"
"264";2;"3";"1";"2";"1";"1";"1";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"5";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"5";"1";"1";"1";"1";"0.816479752262765";"48221.3818181818"
"265";5;"2";"3";"1";"2";;;"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"7";"1";"5";"97";"1";"0.153877151951839";"9088"
"266";2;"3";"1";"1";"2";;;"2";"4";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"5";"1";"2";"1";"0.545110147304365";"32194.2597746081"
"267";2;"3";"2";"1";"2";;;"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"5";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"1";"2";"1";"4";"1.70372270168754";"100622.033333333"
"268";5;"3";"2";"2";"1";"1";"1";"1";"3";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"1";"97";"1";"9";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"2";"2";"5";"2";"1";"1.4893095178719";"87958.7692307692"
"269";5;"2";"1";"2";"1";"1";"1";"1";"3";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"10";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"6";"5";"3";"4";"3";"0.381428784874751";"22527.2222222222"
"270";2;"1";"1";"2";"3";;;"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"5";"1";"1";"1";"2";"0.816479752262765";"48221.3818181818"
"271";5;"2";"3";"1";"1";"1";"2";"1";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"3";"1";"1";"1";"1";"4";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"5";"1";"2";"7";"97";"2";"97";"1";"0.0804491242635532";"4751.33333333333"
"272";2;"3";"3";"2";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"12";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"4";"1";"1";"2";"2";"4";"2";"2";"2.43859778366133";"144023.947368421"
"273";2;"2";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"3";"2";"3";"3";"0.231935108737723";"13697.1107427056"
"274";2;"3";"3";"97";"1";"1";"1";"1";"97";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"97";"97";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"7";"1";"4";"1";"97";"0.510629002325393";"30157.8"
"275";5;"2";"1";"2";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"5";"1";"3";"1";"0.600413814567362";"35460.5"
"276";5;"2";"1";"1";"2";;;"2";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"5";"1";"2";"3";"0.484602971266285";"28620.7"
"277";5;"3";"97";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"3";"2";"2";"1";"1";"97";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"4";"2";"1";"2";"7";"5";"2";"1";"1.74813821419406";"103245.217948718"
"278";2;"3";"3";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"4";"2";"1";"7";"3";"2";"4";"1";"0.231935108737723";"13697.1107427056"
"279";5;"2";"2";"1";"2";;;"1";"3";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"4";"1";"1";"2";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"5";"3";"4";"3";"1";"0.847277601972352";"50040.3"
"280";2;"2";"2";"1";"1";"1";"2";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"97";"1";"1";"3";"1";"1";"2";"3";"2.64514733901718";"156222.666666667"
"281";5;"3";"1";"2";"1";"1";"1";"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"2";"6";"5";"1";"2";"1";"0.892473876386534";"52709.5964912281"
"282";2;"3";"1";"1";"1";"1";"1";"1";"3";"1";"2";"2";"1";"1";"2";"2";"2";"1";"3";"1";"2";"1";"1";"5";"1";"1";"1";"1";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3";"1";"9";"4";"3";"4";"3";"0.305973460192115";"18071.4137931034"
"283";5;"2";"1";"2";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"1";"12";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"1";"5";"1";"1";"1.4893095178719";"87958.7692307692"
"284";4;"97";"1";"2";"97";;;"1";"4";"2";"2";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"1";"1";"5";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"7";"4";"4";"4";"1";"1.17864630456189";"69610.96875"
"285";5;"3";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"5";"2";"1";"5";"3";"2";"2";"3";"1.28931050813344";"76146.8076923077"
"286";4;"3";"2";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"2";"1";"2";"2";"3";"1.78347230063695";"105332.052631579"
"287";4;"3";"1";"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"2";"3";"1";"2";"2";"1.70880049734621";"100921.928571429"
"288";5;"3";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"7";"4";"3";"1";"0.762276476179114";"45020.125"
"289";4;"2";"1";"1";"2";;;"1";"3";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"97";"1";"1";"1";"4";"1";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"97";"3";"1";"9";"4";"5";"4";"3";"1.17864630456189";"69610.96875"
"290";4;"3";"1";"1";"3";;;"2";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"4";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"3";"2";"97";"4";"0.697831529549196";"41214"
"291";5;"3";"1";"1";"1";"2";"1";"1";"3";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"6";"5";"1";"97";"3";"0.150448441204673";"8885.5"
"292";4;"2";"2";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"1";"2";"2";"2";"1";"3";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"3";"3";"2";"3";"1.78347230063695";"105332.052631579"
"293";5;"2";"1";"2";"1";"1";"1";"1";"3";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"7";"5";"2";"2";"0.979784979777538";"58456.8"
"294";4;"3";"2";"1";"2";;;"1";"3";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"1";"1";"1";"12";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"5";"4";"2";"3";"2.03054666748002";"119724.289473684"
"295";5;"3";"1";"1";"1";"1";"1";"1";"4";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"2";"1";"5";"2";"1";"1.4893095178719";"87958.7692307692"
"296";4;"3";"3";"1";"1";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"3";"1";"1";"2";"2";"1.70880049734621";"100921.928571429"
"297";4;"3";"2";"1";"1";"1";"1";"1";"4";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"3";"1";"1";"2";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"1";"4";"1";"1";"2.03054666748002";"119724.289473684"
"297";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"1";"97";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"4";"2";"2";"4";"1";"2";"3";"1";"1.27089467369554";"75059.1666666667"
"297";4;"2";"1";"1";"2";;;"1";"4";"1";"1";"2";"2";"2";"2";"2";"2";"1";"3";"1";"1";"1";"1";"12";"1";"1";"1";"1";"2";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"5";"97";"3";"2";"3";"1.36326731520585";"80514.7041223404"
"300";4;"1";"1";"2";"2";;;"2";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"5";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"1";"4";"1";"1";"2.08693216351434";"123254.42251462"
"301";4;"2";"1";"1";"1";"2";"2";"1";"3";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"7";"6";"1";"97";"3";"0.47205304333641";"27879.5"
"302";4;"3";"3";"1";"1";"1";"1";"1";"3";"2";"1";"2";"2";"2";"2";"1";"2";"1";"3";"2";"2";"1";"1";"10";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"3";"1";"1";"1";"2";"1.50974918436104";"89177.75"
"303";4;"3";"1";"1";"2";;;"1";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"5";"1";"2";"9";"4";"3";"4";"3";"0.591974321132642";"34962.6532738095"
"304";4;"3";"1";"1";"2";;;"1";"3";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"4";"6";"1";"2";"1";"1.60937484185362";"95049.8392857143"
"305";4;"3";"2";"1";"1";"1";"1";"1";"3";"2";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"7";"3";"2";"3";"1";"0.626822295028947";"37020.1875"
"306";4;"2";"1";"1";"1";"1";"2";"1";"3";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"6";"1";"1";"1";"1.06284094359682";"62771.4925373134"
"307";4;"3";"3";"1";"1";"1";"1";"1";"97";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"9";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"7";"5";"2";"4";"2.03054666748002";"119724.289473684"
"308";4;"1";"1";"1";"1";"1";"1";"1";"3";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"2";;;;;;;;"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"4";"5";"1";"6";"7";"5";"3";"3";"1.19308805539384";"70463.9"
"309";4;"3";"1";"1";"1";"2";"1";"1";"3";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"2";"1";"1";"4";"1";"1";"1";"2";"1";"2";"1";"2";"1";"2";"2";"1";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"3";"6";"1";"5";"8";"1";"2";"2";"1.06284094359682";"62771.4925373134"
"310";5;"2";"1";"1";"1";"1";"1";"1";"3";"1";"1";"2";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"10";"1";"1";"1";"1";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"5";"2";"2";"1";"1.28931050813344";"76146.8076923077"
"311";4;"3";"1";"1";"2";;;"2";"3";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"7";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"5";"2";"3";"1";"0.591974321132642";"34962.6532738095"
"312";4;"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";;"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"6";"97";"1";"1";"1";"1.01248037331643";"59797.1922146027"
"313";4;"2";"1";"1";"2";;;"2";"3";"1";"2";"2";"2";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"10";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"3";"1";"5";"4";"4";"3";"1";"1.18644970206827";"70071.85"
"314";4;"2";"2";"2";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"1";"1";"1";"2";;"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"6";"1";"1";"2";"2";"3";"2";"97";"1.73837478453875";"102668.588815789"
"315";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"10";"1";"1";"2";"2";"2";"1";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"97";"2";"2";"3";"1.50038783171644";"88613.0555555556"
"316";4;"2";"1";"3";"1";"1";"1";"1";"3";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"4";"1";"1";"4";"3";"1";"1";"2";"1.70880049734621";"100921.928571429"
"317";4;"3";"1";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"1";"12";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6";"1";"3";"5";"2";"2";"2";"1.78347230063695";"105332.052631579"
"318";4;"2";"1";"1";"2";;;"1";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"5";"2";"97";"3";"0.248953184482645";"14703.2"
